iter	Logloss
0	0.6651433843
1	0.6389905616
2	0.613796998
3	0.589745881
4	0.5671681857
5	0.5465284084
6	0.527014277
7	0.5085482909
8	0.491080127
9	0.4743750926
10	0.4582079637
11	0.4434788178
12	0.42922067
13	0.4159084618
14	0.4036347476
15	0.391524728
16	0.3806552334
17	0.3696640959
18	0.3599595244
19	0.350490806
20	0.3415229687
21	0.3330466075
22	0.3248360089
23	0.3169427923
24	0.3099024299
25	0.3035636813
26	0.2972803152
27	0.2915612652
28	0.2860177516
29	0.2807414664
30	0.2753906477
31	0.2704506955
32	0.2657385208
33	0.2614197606
34	0.2572616253
35	0.2534304709
36	0.2496846383
37	0.2462949612
38	0.2429329012
39	0.2398523232
40	0.2367303327
41	0.2338286806
42	0.2312133163
43	0.2284851366
44	0.225878918
45	0.2235948339
46	0.2214306218
47	0.2191061298
48	0.2172139284
49	0.2153002738
50	0.2134012656
51	0.2115905931
52	0.2098696821
53	0.208141405
54	0.206614442
55	0.2051922022
56	0.2039475773
57	0.2026492048
58	0.2014313864
59	0.2002281775
60	0.1990364046
61	0.1977345945
62	0.1965562677
63	0.195525439
64	0.1944980963
65	0.1934871466
66	0.1925909598
67	0.1917529233
68	0.190956134
69	0.1901825594
70	0.1894626181
71	0.1887311383
72	0.1878887002
73	0.187186821
74	0.1865485921
75	0.1859350995
76	0.1852414564
77	0.1846325383
78	0.1841237374
79	0.183555834
80	0.182947179
81	0.1824447003
82	0.1818280628
83	0.1813404811
84	0.1808189499
85	0.1802644989
86	0.1798066522
87	0.1792651928
88	0.1788425171
89	0.1783799724
90	0.1779000117
91	0.1774763593
92	0.1770485621
93	0.1766485462
94	0.1763180987
95	0.1759360412
96	0.1756160093
97	0.1752775748
98	0.1749696879
99	0.1746405463
100	0.1743663812
101	0.1740582999
102	0.1737394221
103	0.1734396597
104	0.1731639408
105	0.1728611827
106	0.172565855
107	0.172311775
108	0.1720887096
109	0.1717639085
110	0.1714351774
111	0.1711617521
112	0.1709030167
113	0.170636029
114	0.1704099762
115	0.170182407
116	0.1699384625
117	0.169752069
118	0.169511656
119	0.1693094902
120	0.1691038298
121	0.1688847117
122	0.1687085872
123	0.16851686
124	0.1683511482
125	0.1681429911
126	0.1679575565
127	0.1677373128
128	0.1675156844
129	0.1673678669
130	0.1671781906
131	0.1670201454
132	0.1668425803
133	0.1666743455
134	0.1664997747
135	0.1663435292
136	0.1661654529
137	0.1659975236
138	0.1658302149
139	0.1657198618
140	0.1655629909
141	0.1654267953
142	0.1652906682
143	0.1651197347
144	0.1649328219
145	0.1647590622
146	0.1645630319
147	0.1644069797
148	0.1642878603
149	0.1641526702
150	0.1639913082
151	0.1638409513
152	0.163689468
153	0.1635559874
154	0.1634220699
155	0.1632762126
156	0.1631929152
157	0.1630701229
158	0.1629088029
159	0.1627577106
160	0.1626421917
161	0.162509203
162	0.162414062
163	0.1622507088
164	0.1620974565
165	0.1620134651
166	0.1618851328
167	0.161805876
168	0.1616964376
169	0.1615271777
170	0.1614093251
171	0.1612696306
172	0.1611310702
173	0.1609889765
174	0.160896031
175	0.1607412415
176	0.1605916933
177	0.1604744407
178	0.1603634025
179	0.1602168241
180	0.160078767
181	0.159968436
182	0.1598627375
183	0.159745016
184	0.1596376145
185	0.159476417
186	0.1593711584
187	0.1592127335
188	0.1590822745
189	0.1589624264
190	0.1588335499
191	0.1587526568
192	0.1586550951
193	0.1585429933
194	0.1583865347
195	0.1582915732
196	0.158196215
197	0.1580688113
198	0.1579928755
199	0.1578426914
200	0.1577333835
201	0.1576334607
202	0.1575353852
203	0.157401363
204	0.1572652877
205	0.1571823554
206	0.1570793239
207	0.1569611336
208	0.1568752374
209	0.1567590671
210	0.1566731209
211	0.1565574334
212	0.1564796891
213	0.1563800862
214	0.1563070194
215	0.1561893878
216	0.1560926854
217	0.1559725088
218	0.1559173266
219	0.1558326002
220	0.1557163857
221	0.1556338297
222	0.1555561694
223	0.1554699564
224	0.1553470311
225	0.1552509061
226	0.1551586217
227	0.1550318941
228	0.1549318028
229	0.1548456121
230	0.1547380073
231	0.154612943
232	0.154503927
233	0.1544476692
234	0.1543390048
235	0.1542389288
236	0.1541742465
237	0.1540567824
238	0.1539666646
239	0.1538866196
240	0.153795899
241	0.153693513
242	0.1535636384
243	0.1534646538
244	0.1533498501
245	0.1532525232
246	0.1531578334
247	0.1530978546
248	0.153017212
249	0.1528954164
250	0.1528069444
251	0.1527452064
252	0.1526425
253	0.1525752817
254	0.1525013914
255	0.1523892198
256	0.1523154723
257	0.1522512368
258	0.1521025752
259	0.1520036024
260	0.1519072484
261	0.1518311719
262	0.1517501279
263	0.1516677179
264	0.1515818222
265	0.1514854701
266	0.1514102482
267	0.1513491894
268	0.1512532029
269	0.1511869394
270	0.1511150211
271	0.151021263
272	0.1509202742
273	0.150850648
274	0.1507717313
275	0.1506969559
276	0.1505961612
277	0.1504572635
278	0.1503960708
279	0.1503014663
280	0.1502032127
281	0.1501231652
282	0.1500361271
283	0.1499569873
284	0.1498952437
285	0.1497966936
286	0.1496927243
287	0.1496181442
288	0.1495407156
289	0.149482041
290	0.1494167992
291	0.1493334156
292	0.1492409672
293	0.149134119
294	0.1490251295
295	0.148944787
296	0.1488494525
297	0.148742042
298	0.1486600732
299	0.1485545823
300	0.1484299669
301	0.1483543316
302	0.1482327433
303	0.1481511372
304	0.1480597385
305	0.1479748021
306	0.1478329943
307	0.1477705796
308	0.14769628
309	0.1476139315
310	0.147480959
311	0.1474189349
312	0.1473305288
313	0.1472483474
314	0.147137319
315	0.1470464219
316	0.1469820077
317	0.1468966882
318	0.1467965296
319	0.1466941405
320	0.1466450984
321	0.1465897796
322	0.1464722144
323	0.1463977961
324	0.1463227469
325	0.1462328033
326	0.1461668078
327	0.1460946444
328	0.1460180268
329	0.1459476409
330	0.1458471596
331	0.145770102
332	0.1457045195
333	0.1455994136
334	0.1455134393
335	0.1454457569
336	0.1453566902
337	0.1452909503
338	0.1451928946
339	0.1451118515
340	0.1450528908
341	0.1449374398
342	0.1447986121
343	0.1446644452
344	0.1445272673
345	0.1444206742
346	0.1443289937
347	0.144268653
348	0.1441718791
349	0.1441379118
350	0.1440880118
351	0.1439935594
352	0.143909974
353	0.1438253581
354	0.1437182401
355	0.1436183857
356	0.143521496
357	0.1434501749
358	0.1433619423
359	0.1432716348
360	0.1432115549
361	0.1431253816
362	0.1430689533
363	0.1430027128
364	0.1429425392
365	0.1428837005
366	0.1427952514
367	0.1427382447
368	0.1426707357
369	0.1425702136
370	0.1425010137
371	0.1424324954
372	0.1423643347
373	0.1422983361
374	0.1422383709
375	0.1421755172
376	0.1421104945
377	0.1420399002
378	0.141974809
379	0.1418977229
380	0.1418006173
381	0.1417247374
382	0.141651139
383	0.141572794
384	0.1414933722
385	0.1414281946
386	0.1413719747
387	0.1413058433
388	0.1412253099
389	0.1411376858
390	0.1410599332
391	0.1409664154
392	0.1409073332
393	0.1408297826
394	0.1407148599
395	0.1406341675
396	0.1405881021
397	0.1405016027
398	0.1404263835
399	0.1403903278
400	0.1403074787
401	0.1402507325
402	0.140185184
403	0.1401169985
404	0.1400038885
405	0.1399521937
406	0.1399032075
407	0.1397974736
408	0.1397473309
409	0.1396991267
410	0.1396147257
411	0.1395299437
412	0.13943358
413	0.1393727331
414	0.1392947538
415	0.1391765345
416	0.1391158939
417	0.1390211607
418	0.1389602983
419	0.1388916917
420	0.1388090009
421	0.138746325
422	0.1386555979
423	0.1385854506
424	0.1385031342
425	0.1383995584
426	0.1383289829
427	0.1382622159
428	0.1381883513
429	0.1381190102
430	0.1380547591
431	0.1379592956
432	0.1378654371
433	0.137776588
434	0.1376964802
435	0.1375926467
436	0.1375115658
437	0.1374400187
438	0.1373379363
439	0.1372667727
440	0.1372039325
441	0.1371027596
442	0.1370110612
443	0.136935604
444	0.136853056
445	0.1367907568
446	0.136717831
447	0.1366553085
448	0.1365784968
449	0.1364746262
450	0.13641085
451	0.136356013
452	0.1362728057
453	0.1361882063
454	0.1361431052
455	0.1360723735
456	0.1360067832
457	0.1359132469
458	0.1358265547
459	0.1357175506
460	0.1356794885
461	0.1355798879
462	0.1355007335
463	0.1354466272
464	0.1353862098
465	0.1352697506
466	0.1352063047
467	0.1351396028
468	0.1350843878
469	0.1349678401
470	0.1348931311
471	0.1348057192
472	0.1347385403
473	0.1346652285
474	0.13461346
475	0.1345283282
476	0.1344296261
477	0.1343849204
478	0.1343195785
479	0.1342371707
480	0.1341720393
481	0.1341015854
482	0.133997058
483	0.133874828
484	0.1337961059
485	0.1337249111
486	0.1336545798
487	0.133572167
488	0.1334792818
489	0.1334347279
490	0.1333559157
491	0.1332652639
492	0.1331796098
493	0.1331025986
494	0.1330570538
495	0.1329537934
496	0.132872955
497	0.1327990368
498	0.1327564193
499	0.1326805239
500	0.1326237227
501	0.1325398766
502	0.1324754708
503	0.1324132511
504	0.1323133001
505	0.1322010848
506	0.1321273955
507	0.1320472451
508	0.1319835101
509	0.1318867718
510	0.1317569418
511	0.1316817911
512	0.1316167599
513	0.1315691122
514	0.1315034864
515	0.1314207093
516	0.131377139
517	0.1312857078
518	0.1311973413
519	0.1311334528
520	0.1310437167
521	0.1309719265
522	0.130882357
523	0.1308321133
524	0.1307741683
525	0.1306870277
526	0.130587969
527	0.1305227551
528	0.1304238313
529	0.1303630564
530	0.1302921147
531	0.130169666
532	0.1301007355
533	0.1300418208
534	0.129977536
535	0.1299117582
536	0.1298399988
537	0.1297582969
538	0.1297038046
539	0.1296289044
540	0.1295465173
541	0.1294834464
542	0.12941727
543	0.1293315693
544	0.1292615802
